"","Poke.x","Poke.y","weight"
"192","Aerodactyl-Mega","Druddigon",2
"193","Aerodactyl-Mega","Escavalier",1
"194","Aerodactyl-Mega","Espathra",1
"195","Aerodactyl-Mega","Galvantula",1
"196","Aerodactyl-Mega","Golbat",1
"197","Aerodactyl-Mega","Heatran",1
"198","Aerodactyl-Mega","Incineroar",1
"199","Aerodactyl-Mega","Iron_Boulder",1
"200","Aerodactyl-Mega","Klefki",1
"201","Aerodactyl-Mega","Latias",1
"202","Aerodactyl-Mega","Lickilicky",2
"203","Aerodactyl-Mega","Ludicolo",1
"204","Aerodactyl-Mega","Marowak-Alola",1
"205","Aerodactyl-Mega","Mew",2
"206","Aerodactyl-Mega","Milotic",1
"207","Aerodactyl-Mega","Mudsdale",1
"208","Aerodactyl-Mega","Naclstack",1
"209","Aerodactyl-Mega","Nidoqueen",1
"210","Aerodactyl-Mega","Noivern",1
"211","Aerodactyl-Mega","Piloswine",1
"212","Aerodactyl-Mega","Porygon-Z",1
"213","Aerodactyl-Mega","Reuniclus",1
"214","Aerodactyl-Mega","Ribombee",1
"215","Aerodactyl-Mega","Rotom",1
"216","Aerodactyl-Mega","Rotom-Wash",1
"217","Aerodactyl-Mega","Samurott-Hisui",1
"218","Aerodactyl-Mega","Scolipede",1
"219","Aerodactyl-Mega","Scream_Tail",1
"220","Aerodactyl-Mega","Seismitoad",1
"221","Aerodactyl-Mega","Silvally",1
"222","Aerodactyl-Mega","Tapu_Koko",1
"223","Aerodactyl-Mega","Ting-Lu",1
"224","Aerodactyl-Mega","Type_Null",1
"225","Aerodactyl-Mega","Weezing",2
"226","Aerodactyl-Mega","Weezing-Galar",1
"227","Aerodactyl-Mega","Zamazenta-Crowned",1
"228","Aerodactyl-Mega","Zarude",1
"229","Aerodactyl-Mega","Zeraora",1
"230","Aerodactyl-Mega","Zygarde",2
"231","Aggron","Ambipom",1
"232","Aggron","Beedrill-Mega",1
"233","Aggron","Blacephalon",1
"234","Aggron","Brute_Bonnet",1
"235","Aggron","Charizard-Mega-Y",1
"236","Aggron","Espathra",1
"237","Aggron","Gigalith",1
"238","Aggron","Gliscor",1
"239","Aggron","Goodra",1
"240","Aggron","Haxorus",1
"241","Aggron","Mienshao",1
"242","Aggron","Nidoking",1
"243","Aggron","Palafin",1
"244","Aggron","Primarina",1
"245","Aggron","Slither_Wing",1
"246","Aggron","Snorlax",1
"247","Aggron","Torkoal",1
"248","Aggron","Tornadus",1
"249","Aggron","Umbreon",1
"250","Aggron","Volbeat",1
"251","Aggron-Mega","Amoonguss",1
"252","Aggron-Mega","Arcanine",1
"253","Aggron-Mega","Armaldo",1
"254","Aggron-Mega","Aromatisse",1
"255","Aggron-Mega","Azelf",1
"256","Aggron-Mega","Basculin",1
"257","Aggron-Mega","Bastiodon",1
"258","Aggron-Mega","Bellibolt",1
"259","Aggron-Mega","Buzzwole",1
"260","Aggron-Mega","Ceruledge",1
"261","Aggron-Mega","Chandelure",1
"262","Aggron-Mega","Chi-Yu",1
"263","Aggron-Mega","Chien-Pao",1
"264","Aggron-Mega","Cinccino",2
"265","Aggron-Mega","Claydol",1
"266","Aggron-Mega","Cloyster",2
"267","Aggron-Mega","Cofagrigus",1
"268","Aggron-Mega","Comfey",2
"269","Aggron-Mega","Crobat",3
"270","Aggron-Mega","Darmanitan",1
"271","Aggron-Mega","Darmanitan-Galar",1
"272","Aggron-Mega","Dhelmise",1
"273","Aggron-Mega","Donphan",1
"274","Aggron-Mega","Dragapult",1
"275","Aggron-Mega","Dragonite",1
"276","Aggron-Mega","Druddigon",2
"277","Aggron-Mega","Electrode",1
"278","Aggron-Mega","Enamorus",1
"279","Aggron-Mega","Forretress",1
"280","Aggron-Mega","Gengar",1
"281","Aggron-Mega","Glimmet",1
"282","Aggron-Mega","Golurk",1
"283","Aggron-Mega","Goodra",1
"284","Aggron-Mega","Greninja",2
"285","Aggron-Mega","Heliolisk",1
"286","Aggron-Mega","Hippowdon",1
"287","Aggron-Mega","Hitmonchan",1
"288","Aggron-Mega","Houndoom",1
"289","Aggron-Mega","Hydreigon",1
"290","Aggron-Mega","Infernape",2
"291","Aggron-Mega","Jellicent",1
"292","Aggron-Mega","Kyurem",1
"293","Aggron-Mega","Kyurem-Black",2
"294","Aggron-Mega","Landorus-Therian",1
"295","Aggron-Mega","Latias",1
"296","Aggron-Mega","Lickilicky",2
"297","Aggron-Mega","Lycanroc-Dusk",1
"298","Aggron-Mega","Mamoswine",1
"299","Aggron-Mega","Mandibuzz",1
"300","Aggron-Mega","Masquerain",1
"301","Aggron-Mega","Maushold",1
"302","Aggron-Mega","Meloetta",1
"303","Aggron-Mega","Mesprit",1
"304","Aggron-Mega","Mew",1
"305","Aggron-Mega","Mienshao",1
"306","Aggron-Mega","Nidoqueen",1
"307","Aggron-Mega","Ogerpon",1
"308","Aggron-Mega","Oricorio",1
"309","Aggron-Mega","Persian-Alola",1
"310","Aggron-Mega","Porygon2",1
"311","Aggron-Mega","Primeape",1
"312","Aggron-Mega","Pyukumuku",1
"313","Aggron-Mega","Raichu-Alola",2
"314","Aggron-Mega","Reuniclus",1
"315","Aggron-Mega","Rotom-Mow",1
"316","Aggron-Mega","Salamence",1
"317","Aggron-Mega","Salazzle",1
"318","Aggron-Mega","Sandy_Shocks",1
"319","Aggron-Mega","Scream_Tail",1
"320","Aggron-Mega","Seismitoad",1
"321","Aggron-Mega","Serperior",1
"322","Aggron-Mega","Shaymin",2
"323","Aggron-Mega","Slowbro",1
"324","Aggron-Mega","Sneasel",1
"325","Aggron-Mega","Sneasler",1
"326","Aggron-Mega","Spiritomb",1
"327","Aggron-Mega","Suicune",1
"328","Aggron-Mega","Sylveon",2
"329","Aggron-Mega","Tapu_Bulu",2
"330","Aggron-Mega","Tapu_Fini",1
"331","Aggron-Mega","Tapu_Koko",2
"332","Aggron-Mega","Tentacruel",1
"333","Aggron-Mega","Terapagos",1
"334","Aggron-Mega","Terrakion",1
"335","Aggron-Mega","Tornadus-Therian",1
"336","Aggron-Mega","Ursaluna-Bloodmoon",1
"337","Aggron-Mega","Vaporeon",1
"338","Aggron-Mega","Vespiquen",1
"339","Aggron-Mega","Vikavolt",1
"340","Aggron-Mega","Zapdos",2
"341","Aggron-Mega","Zebstrika",1
"342","Alakazam","Absol-Mega",1
"343","Alakazam","Amoonguss",1
"344","Alakazam","Araquanid",1
"345","Alakazam","Arcanine-Hisui",1
"346","Alakazam","Archaludon",1
"347","Alakazam","Blastoise-Mega",1
"348","Alakazam","Blissey",1
"349","Alakazam","Buzzwole",1
"350","Alakazam","Dhelmise",1
"351","Alakazam","Emboar",1
"352","Alakazam","Excadrill",1
"353","Alakazam","Garchomp",1
"354","Alakazam","Gligar",1
"355","Alakazam","Keldeo",1
"356","Alakazam","Klefki",1
"357","Alakazam","Kyurem",1
"358","Alakazam","Lapras",1
"359","Alakazam","Lycanroc-Night",1
"360","Alakazam","Mimikyu",1
"361","Alakazam","Ninjask",1
"362","Alakazam","Rotom-Mow",1
"363","Alakazam","Snorlax",1
"364","Alakazam","Talonflame",1
"365","Alakazam","Tapu_Koko",1
"366","Alakazam","Thundurus-Therian",1
"367","Alakazam","Tsareena",1
"368","Alakazam","Tyranitar-Mega",1
"369","Alakazam","Vaporeon",1
"370","Alakazam","Weezing",1
"371","Alakazam-Mega","Abomasnow",1
"372","Alakazam-Mega","Aegislash",1
"373","Alakazam-Mega","Alomomola",1
"374","Alakazam-Mega","Amoonguss",1
"375","Alakazam-Mega","Ariados",1
"376","Alakazam-Mega","Clefable",1
"377","Alakazam-Mega","Cobalion",1
"378","Alakazam-Mega","Crustle",1
"379","Alakazam-Mega","Decidueye",1
"380","Alakazam-Mega","Dracovish",1
"381","Alakazam-Mega","Dragonite",1
"382","Alakazam-Mega","Forretress",1
"383","Alakazam-Mega","Froslass",1
"384","Alakazam-Mega","Gliscor",1
"385","Alakazam-Mega","Gourgeist",1
"386","Alakazam-Mega","Grimmsnarl",1
"387","Alakazam-Mega","Incineroar",1
"388","Alakazam-Mega","Indeedee",1
"389","Alakazam-Mega","Infernape",1
"390","Alakazam-Mega","Jolteon",1
"391","Alakazam-Mega","Kangaskhan",1
"392","Alakazam-Mega","Klinklang",1
"393","Alakazam-Mega","Kommo-o",1
"394","Alakazam-Mega","Kyurem-Black",1
"395","Alakazam-Mega","Landorus-Therian",1
"396","Alakazam-Mega","Mamoswine",1
"397","Alakazam-Mega","Manaphy",1
"398","Alakazam-Mega","Melmetal",1
"399","Alakazam-Mega","Miltank",1
"400","Alakazam-Mega","Mimikyu",1
"401","Alakazam-Mega","Minior",1
"402","Alakazam-Mega","Nidoking",1
"403","Alakazam-Mega","Pangoro",1
"404","Alakazam-Mega","Ribombee",1
"405","Alakazam-Mega","Rotom-Heat",1
"406","Alakazam-Mega","Sandy_Shocks",1
"407","Alakazam-Mega","Scyther",1
"408","Alakazam-Mega","Seismitoad",1
"409","Alakazam-Mega","Shaymin",1
"410","Alakazam-Mega","Skarmory",1
"411","Alakazam-Mega","Slaking",1
"412","Alakazam-Mega","Sneasel",1
"413","Alakazam-Mega","Suicune",1
"414","Alakazam-Mega","Togekiss",1
"415","Alakazam-Mega","Tsareena",1
"416","Alakazam-Mega","Typhlosion",1
"417","Alakazam-Mega","Victini",1
"418","Alakazam-Mega","Vikavolt",1
"419","Alakazam-Mega","Weezing-Galar",1
"420","Alakazam-Mega","Zygarde-10",1
"421","Alcremie","Annihilape",1
"422","Alcremie","Archaludon",2
"423","Alcremie","Arctovish",1
"424","Alcremie","Banette-Mega",1
"425","Alcremie","Ceruledge",1
"426","Alcremie","Cryogonal",1
"427","Alcremie","Darkrai",1
"428","Alcremie","Entei",1
"429","Alcremie","Landorus-Therian",1
"430","Alcremie","Miltank",1
"431","Alcremie","Overqwil",1
"432","Alcremie","Pelipper",1
"433","Alcremie","Serperior",1
"434","Alcremie","Slowking",1
"435","Alcremie","Tangrowth",1
"436","Alcremie","Terrakion",1
"437","Alcremie","Thundurus",1
"438","Alcremie","Togedemaru",1
"439","Alcremie","Zoroark-Hisui",1
"440","Alomomola","Alakazam-Mega",1
"441","Alomomola","Amoonguss",2
"442","Alomomola","Arbok",1
"443","Alomomola","Beedrill-Mega",1
"444","Alomomola","Braviary",1
"445","Alomomola","Celesteela",1
"446","Alomomola","Chandelure",2
"447","Alomomola","Chesnaught",1
"448","Alomomola","Claydol",1
"449","Alomomola","Clefable",1
"450","Alomomola","Conkeldurr",1
"451","Alomomola","Drapion",2
"452","Alomomola","Dusknoir",1
"453","Alomomola","Eldegoss",2
"454","Alomomola","Ferrothorn",1
"455","Alomomola","Flamigo",1
"456","Alomomola","Flygon",1
"457","Alomomola","Forretress",1
"458","Alomomola","Gallade-Mega",1
"459","Alomomola","Garchomp",1
"460","Alomomola","Gengar",2
"461","Alomomola","Glimmora",1
"462","Alomomola","Gourgeist",1
"463","Alomomola","Greninja",1
"464","Alomomola","Grimmsnarl",2
"465","Alomomola","Heatran",1
"466","Alomomola","Hoopa",1
"467","Alomomola","Hydrapple",1
"468","Alomomola","Hydreigon",1
"469","Alomomola","Infernape",1
"470","Alomomola","Iron_Treads",1
"471","Alomomola","Jolteon",2
"472","Alomomola","Kyurem-Black",1
"473","Alomomola","Landorus-Therian",1
"474","Alomomola","Latias-Mega",1
"475","Alomomola","Leavanny",1
"476","Alomomola","Lopunny-Mega",1
"477","Alomomola","Lycanroc-Dusk",1
"478","Alomomola","Magnezone",1
"479","Alomomola","Mamoswine",1
"480","Alomomola","Mandibuzz",1
"481","Alomomola","Melmetal",1
"482","Alomomola","Miltank",3
"483","Alomomola","Mr-Mime-Galar",1
"484","Alomomola","Nidoking",1
"485","Alomomola","Nihilego",1
"486","Alomomola","Porygon2",1
"487","Alomomola","Purugly",1
"488","Alomomola","Regieleki",1
"489","Alomomola","Reuniclus",1
"490","Alomomola","Rhydon",1
"491","Alomomola","Ribombee",2
"492","Alomomola","Rotom-Frost",1
"493","Alomomola","Rotom-Heat",1
"494","Alomomola","Scizor-Mega",1
"495","Alomomola","Scream_Tail",1
"496","Alomomola","Sharpedo-Mega",1
"497","Alomomola","Smeargle",1
"498","Alomomola","Sylveon",1
"499","Alomomola","Thundurus",1
"500","Alomomola","Togekiss",1
"501","Alomomola","Tornadus",1
"502","Alomomola","Tornadus-Therian",1
"503","Alomomola","Typhlosion",1
"504","Alomomola","Ursaluna-Bloodmoon",1
"505","Alomomola","Urshifu",1
"506","Alomomola","Zapdos",1
"507","Alomomola","Zeraora",1
"508","Alomomola","Zygarde",1
"509","Altaria-Mega","Bisharp",1
"510","Altaria-Mega","Buzzwole",1
"511","Altaria-Mega","Chatot",1
"512","Altaria-Mega","Cryogonal",2
"513","Altaria-Mega","Doublade",1
"514","Altaria-Mega","Eelektross",1
"515","Altaria-Mega","Electrode",1
"516","Altaria-Mega","Emboar",1
"517","Altaria-Mega","Entei",1
"518","Altaria-Mega","Ferrothorn",1
"519","Altaria-Mega","Glastrier",1
"520","Altaria-Mega","Gliscor",1
"521","Altaria-Mega","Heatran",1
"522","Altaria-Mega","Kartana",1
"523","Altaria-Mega","Landorus-Therian",1
"524","Altaria-Mega","Leafeon",1
"525","Altaria-Mega","Lycanroc-Dusk",1
"526","Altaria-Mega","Magneton",1
"527","Altaria-Mega","Miltank",1
"528","Altaria-Mega","Moltres",1
"529","Altaria-Mega","Omastar",1
"530","Altaria-Mega","Porygon2",1
"531","Altaria-Mega","Regieleki",1
"532","Altaria-Mega","Reuniclus",1
"533","Altaria-Mega","Rhyperior",1
"534","Altaria-Mega","Ribombee",1
"535","Altaria-Mega","Salazzle",1
"536","Altaria-Mega","Samurott-Hisui",1
"537","Altaria-Mega","Silvally",1
"538","Altaria-Mega","Slowbro",1
"539","Altaria-Mega","Slowking",1
"540","Altaria-Mega","Spiritomb",1
"541","Altaria-Mega","Tangrowth",1
"542","Altaria-Mega","Ursaluna-Bloodmoon",1
"543","Altaria-Mega","Urshifu-Rapid-Strike",1
"544","Altaria-Mega","Vanilluxe",1
"545","Altaria-Mega","Venomoth",1
"546","Altaria-Mega","Zapdos-Galar",1
"547","Altaria-Mega","Zeraora",1
"548","Ambipom","Aggron",1
"549","Ambipom","Annihilape",1
"550","Ambipom","Aromatisse",1
"551","Ambipom","Beedrill-Mega",1
"552","Ambipom","Bellibolt",1
"553","Ambipom","Blacephalon",1
"554","Ambipom","Blastoise-Mega",2
"555","Ambipom","Buzzwole",1
"556","Ambipom","Cinderace",1
"557","Ambipom","Cresselia",1
"558","Ambipom","Diancie",1
"559","Ambipom","Drifblim",1
"560","Ambipom","Empoleon",1
"561","Ambipom","Forretress",1
"562","Ambipom","Gallade-Mega",1
"563","Ambipom","Garchomp",1
"564","Ambipom","Gardevoir-Mega",1
"565","Ambipom","Goodra",1
"566","Ambipom","Haxorus",1
"567","Ambipom","Honchkrow",1
"568","Ambipom","Jirachi",1
"569","Ambipom","Jolteon",1
"570","Ambipom","Klawf",1
"571","Ambipom","Krookodile",2
"572","Ambipom","Kyurem",1
"573","Ambipom","Lurantis",1
"574","Ambipom","Meowscarada",1
"575","Ambipom","Mienshao",1
"576","Ambipom","Moltres",1
"577","Ambipom","Nidoking",2
"578","Ambipom","Nihilego",1
"579","Ambipom","Pecharunt",1
"580","Ambipom","Primarina",1
"581","Ambipom","Rotom-Frost",1
"582","Ambipom","Rotom-Wash",1
"583","Ambipom","Skeledirge",1
"584","Ambipom","Snorlax",1
"585","Ambipom","Sylveon",1
"586","Ambipom","Tangrowth",1
"587","Ambipom","Tornadus",1
"588","Ambipom","Tornadus-Therian",1
"589","Ambipom","Umbreon",1
"590","Ambipom","Vileplume",1
"591","Ambipom","Zamazenta-Crowned",1
"592","Ambipom","Zygarde",1
"593","Amoonguss","Abomasnow",1
"594","Amoonguss","Aggron-Mega",1
"595","Amoonguss","Alakazam",1
"596","Amoonguss","Alakazam-Mega",1
"597","Amoonguss","Alomomola",2
"598","Amoonguss","Arcanine-Hisui",1
"599","Amoonguss","Armaldo",1
"600","Amoonguss","Articuno",1
"601","Amoonguss","Basculin",1
"602","Amoonguss","Bellibolt",1
"603","Amoonguss","Braviary",1
"604","Amoonguss","Buzzwole",1
"605","Amoonguss","Carracosta",1
"606","Amoonguss","Celesteela",1
"607","Amoonguss","Chatot",1
"608","Amoonguss","Cinccino",1
"609","Amoonguss","Claydol",1
"610","Amoonguss","Clefable",2
"611","Amoonguss","Coalossal",1
"612","Amoonguss","Corviknight",1
"613","Amoonguss","Crawdaunt",1
"614","Amoonguss","Crobat",1
"615","Amoonguss","Dragapult",1
"616","Amoonguss","Drapion",1
"617","Amoonguss","Druddigon",1
"618","Amoonguss","Dugtrio",1
"619","Amoonguss","Dusknoir",1
"620","Amoonguss","Enamorus-Therian",1
"621","Amoonguss","Excadrill",1
"622","Amoonguss","Exploud",1
"623","Amoonguss","Florges",1
"624","Amoonguss","Frosmoth",1
"625","Amoonguss","Gallade-Mega",1
"626","Amoonguss","Garganacl",1
"627","Amoonguss","Gengar",1
"628","Amoonguss","Gholdengo",1
"629","Amoonguss","Gligar",1
"630","Amoonguss","Gliscor",1
"631","Amoonguss","Golurk",1
"632","Amoonguss","Goodra",1
"633","Amoonguss","Goodra-Hisui",1
"634","Amoonguss","Granbull",1
"635","Amoonguss","Great_Tusk",1
"636","Amoonguss","Heatran",1
"637","Amoonguss","Houndoom",1
"638","Amoonguss","Hydreigon",1
"639","Amoonguss","Incineroar",3
"640","Amoonguss","Infernape",2
"641","Amoonguss","Iron_Bundle",1
"642","Amoonguss","Iron_Valiant",1
"643","Amoonguss","Jirachi",2
"644","Amoonguss","Jolteon",1
"645","Amoonguss","Keldeo",2
"646","Amoonguss","Kilowattrel",1
"647","Amoonguss","Klawf",1
"648","Amoonguss","Kommo-o",1
"649","Amoonguss","Kricketune",1
"650","Amoonguss","Krookodile",1
"651","Amoonguss","Kyurem",2
"652","Amoonguss","Lapras",1
"653","Amoonguss","Latias-Mega",1
"654","Amoonguss","Lopunny-Mega",1
"655","Amoonguss","Lycanroc-Dusk",2
"656","Amoonguss","Magmortar",1
"657","Amoonguss","Magneton",2
"658","Amoonguss","Malamar",1
"659","Amoonguss","Mamoswine",2
"660","Amoonguss","Manectric-Mega",1
"661","Amoonguss","Mawile-Mega",1
"662","Amoonguss","Melmetal",1
"663","Amoonguss","Mienshao",1
"664","Amoonguss","Mimikyu",2
"665","Amoonguss","Mismagius",2
"666","Amoonguss","Necrozma",1
"667","Amoonguss","Nihilego",1
"668","Amoonguss","Ninjask",1
"669","Amoonguss","Orthworm",1
"670","Amoonguss","Pidgeot-Mega",1
"671","Amoonguss","Pincurchin",1
"672","Amoonguss","Pineco",1
"673","Amoonguss","Purugly",1
"674","Amoonguss","Raichu-Alola",1
"675","Amoonguss","Regieleki",2
"676","Amoonguss","Rhydon",1
"677","Amoonguss","Ribombee",2
"678","Amoonguss","Rotom-Heat",1
"679","Amoonguss","Rotom-Mow",1
"680","Amoonguss","Rotom-Wash",1
"681","Amoonguss","Salamence",1
"682","Amoonguss","Samurott-Hisui",1
"683","Amoonguss","Scizor-Mega",1
"684","Amoonguss","Scyther",1
"685","Amoonguss","Seismitoad",1
"686","Amoonguss","Shuckle",1
"687","Amoonguss","Slowking",2
"688","Amoonguss","Spectrier",1
"689","Amoonguss","Stoutland",1
"690","Amoonguss","Swampert",1
"691","Amoonguss","Swellow",1
"692","Amoonguss","Talonflame",1
"693","Amoonguss","Tapu_Koko",1
"694","Amoonguss","Ting-Lu",1
"695","Amoonguss","Tinkaton",1
"696","Amoonguss","Togekiss",1
"697","Amoonguss","Tyranitar",1
"698","Amoonguss","Tyranitar-Mega",1
"699","Amoonguss","Urshifu_Rapid_Strike",1
"700","Amoonguss","Vaporeon",1
"701","Amoonguss","Volcarona",1
"702","Amoonguss","Walking_Wake",1
"703","Amoonguss","Weavile",1
"704","Amoonguss","Wyrdeer",1
"705","Amoonguss","Zapdos-Galar",1
"706","Amoonguss","Zygarde",1
"707","Ampharos","Aromatisse",1
"708","Ampharos","Darmanitan",1
"709","Ampharos","Empoleon",1
"710","Ampharos","Gliscor",1
"711","Ampharos","Heracross",1
"712","Ampharos","Kartana",1
"713","Ampharos","Mismagius",1
"714","Ampharos","Raikou",1
"715","Ampharos","Sableye-Mega",1
"716","Ampharos","Tornadus",1
"717","Ampharos-Mega","Barraskewda",1
"718","Ampharos-Mega","Chatot",1
"719","Ampharos-Mega","Clefable",1
"720","Ampharos-Mega","Cresselia",1
"721","Ampharos-Mega","Darmanitan",1
"722","Ampharos-Mega","Dugtrio",1
