"Pokemon1","Pokemon2","Distance","weight","percentile"
"Celesteela","Shaymin",0.114004760667657,2,0.000203870827443732
"Landorus-Therian","Shaymin",0.114113719579047,2,0.000210666521691856
"Amoonguss","Lopunny-Mega",0.114215872192146,1,0.00021746221593998
"Clefable","Sylveon",0.114299894860496,0,0.000224257910188105
"Hydreigon","Jolteon",0.114329222170158,2,0.000231053604436229
"Sylveon","Tapu_Koko",0.114368912200504,0,0.000237849298684354
"Tangrowth","Vikavolt",0.114527371302306,2,0.000244644992932478
"Cryogonal","Tangrowth",0.114576179075821,1,0.000251440687180602
"Amoonguss","Gengar",0.114578450687028,1,0.000258236381428727
"Rotom-Wash","Zygarde",0.114599847265277,4,0.000265032075676851
"Jolteon","Landorus-Therian",0.114693506321426,2,0.000271827769924976
"Amoonguss","Jirachi",0.114700122696341,2,0.0002786234641731
"Tapu_Koko","Zygarde",0.114709321661412,2,0.000285419158421224
"Rotom-Heat","Tapu_Koko",0.114768694253754,0,0.000292214852669349
"Snorlax","Tapu_Koko",0.1147720341186,3,0.000299010546917473
"Gengar","Infernape",0.114805247137198,2,0.000305806241165597
"Jirachi","Tapu_Koko",0.114812698832778,0,0.000312601935413722
"Clefable","Crobat",0.114889665885902,1,0.000319397629661846
"Silvally","Sylveon",0.114950543970354,2,0.000326193323909971
"Clefable","Landorus-Therian",0.114976207338614,1,0.000332989018158095
"Infernape","Jirachi",0.114992004991423,1,0.000339784712406219
"Cryogonal","Rotom-Heat",0.115127848238874,2,0.000346580406654344
"Jirachi","Tangrowth",0.115186919986833,1,0.000353376100902468
"Haxorus","Rotom-Heat",0.115204024927573,1,0.000360171795150593
"Arcanine","Tangrowth",0.115256783194675,1,0.000366967489398717
"Shaymin","Vikavolt",0.115307748368251,2,0.000373763183646841
"Sylveon","Tornadus-Therian",0.115329562345836,1,0.000380558877894966
"Mew","Zygarde",0.11536639830966,3,0.00038735457214309
"Lopunny-Mega","Rotom-Heat",0.115367803636902,2,0.000394150266391215
"Haxorus","Jirachi",0.115381021775869,2,0.000400945960639339
"Rotom-Heat","Shaymin",0.115459228836892,1,0.000407741654887463
"Cryogonal","Gliscor",0.11552697770327,3,0.000414537349135588
"Jolteon","Tapu_Koko",0.115603606826218,0,0.000421333043383712
"Crobat","Hydreigon",0.115666600511545,1,0.000428128737631836
"Serperior","Tornadus-Therian",0.115767865972184,1,0.000434924431879961
"Haxorus","Tornadus-Therian",0.115769528508891,1,0.000441720126128085
"Gliscor","Tapu_Koko",0.115798772048471,2,0.00044851582037621
"Haxorus","Lopunny-Mega",0.11587550620018,2,0.000455311514624334
"Darmanitan","Haxorus",0.116008211666105,1,0.000462107208872458
"Landorus-Therian","Tangrowth",0.116031909938921,2,0.000468902903120583
"Amoonguss","Hydreigon",0.116098801351676,1,0.000475698597368707
"Crobat","Sylveon",0.116164576424793,2,0.000482494291616832
"Crobat","Landorus-Therian",0.116176794844876,2,0.000489289985864956
"Clefable","Haxorus",0.116221368914756,1,0.00049608568011308
"Mamoswine","Silvally",0.11622520315198,2,0.000502881374361205
"Haxorus","Landorus-Therian",0.116233355385206,2,0.000509677068609329
"Amoonguss","Rotom-Heat",0.116307073471052,1,0.000516472762857454
"Krookodile","Primarina",0.116345763201188,2,0.000523268457105578
"Clefable","Tornadus-Therian",0.116438168987092,0,0.000530064151353702
"Lopunny-Mega","Tapu_Koko",0.11646852404269,1,0.000536859845601827
"Infernape","Tapu_Koko",0.116484030355781,0,0.000543655539849951
"Jirachi","Togekiss",0.116511606271661,3,0.000550451234098075
"Amoonguss","Jolteon",0.116521112960757,1,0.0005572469283462
"Tangrowth","Tornadus-Therian",0.116603574026555,2,0.000564042622594324
"Arcanine","Tornadus-Therian",0.116701935456725,2,0.000570838316842449
"Jirachi","Jolteon",0.116748948591369,2,0.000577634011090573
"Rotom-Heat","Tornadus-Therian",0.116772378155566,1,0.000584429705338697
"Infernape","Lopunny-Mega",0.116792928740987,0,0.000591225399586822
"Gliscor","Lopunny-Mega",0.116811100259112,2,0.000598021093834946
"Cryogonal","Tapu_Koko",0.116924502457087,0,0.000604816788083071
"Hydreigon","Landorus-Therian",0.116926793336686,2,0.000611612482331195
"Jirachi","Tornadus-Therian",0.116927505001194,2,0.000618408176579319
"Rotom-Heat","Silvally",0.117028040119855,2,0.000625203870827444
"Moltres","Tapu_Koko",0.117053743143188,2,0.000631999565075568
"Celesteela","Mamoswine",0.11705776202216,3,0.000638795259323692
"Celesteela","Rotom-Heat",0.117068893561863,1,0.000645590953571817
"Infernape","Tangrowth",0.117083329012447,1,0.000652386647819941
"Arcanine","Jirachi",0.117143655570045,1,0.000659182342068066
"Aggron-Mega","Shaymin",0.117166299011445,2,0.00066597803631619
"Haxorus","Jolteon",0.117207831946967,1,0.000672773730564314
"Tapu_Koko","Vikavolt",0.117278470250134,1,0.000679569424812439
"Clefable","Tangrowth",0.11728088349057,0,0.000686365119060563
"Aggron-Mega","Crobat",0.117348302832217,3,0.000693160813308688
"Hydreigon","Lopunny-Mega",0.117355522907765,1,0.000699956507556812
"Lopunny-Mega","Mew",0.117377234878326,2,0.000706752201804936
"Gliscor","Moltres",0.117400806941169,3,0.000713547896053061
"Shaymin","Tornadus-Therian",0.117413012129839,0,0.000720343590301185
"Cryogonal","Tornadus-Therian",0.117415957670333,1,0.00072713928454931
"Primarina","Tapu_Koko",0.117481467140932,0,0.000733934978797434
"Amoonguss","Sylveon",0.117593539658974,0,0.000740730673045558
"Cryogonal","Lopunny-Mega",0.117656354657504,1,0.000747526367293683
"Gligar","Tapu_Koko",0.117726842466387,3,0.000754322061541807
"Kyurem","Tapu_Koko",0.117732552604254,2,0.000761117755789931
"Celesteela","Crobat",0.117736551347764,2,0.000767913450038056
"Haxorus","Primarina",0.117762759560577,1,0.00077470914428618
"Clefable","Infernape",0.117768714810401,1,0.000781504838534305
"Mamoswine","Tornadus-Therian",0.117798646604931,3,0.000788300532782429
"Celesteela","Silvally",0.117864238539309,3,0.000795096227030553
"Cryogonal","Haxorus",0.117864970663324,0,0.000801891921278678
"Jolteon","Tangrowth",0.117878187835486,0,0.000808687615526802
"Celesteela","Clefable",0.117886925939147,1,0.000815483309774927
"Nidoking","Tornadus-Therian",0.117893547293034,3,0.000822279004023051
"Shaymin","Tangrowth",0.117907340307747,0,0.000829074698271175
"Amoonguss","Mamoswine",0.117908012798243,2,0.0008358703925193
"Jolteon","Zygarde",0.117920564590406,2,0.000842666086767424
"Celesteela","Tornadus-Therian",0.117923874402248,0,0.000849461781015549
"Amoonguss","Gliscor",0.117948717948718,1,0.000856257475263673
"Cryogonal","Moltres",0.117996293893441,2,0.000863053169511797
"Florges","Lopunny-Mega",0.118086370705787,2,0.000869848863759922
"Cryogonal","Landorus-Therian",0.118103850717764,1,0.000876644558008046
"Hydreigon","Tangrowth",0.118121321350706,1,0.00088344025225617
"Mienshao","Tangrowth",0.118134224587238,1,0.000890235946504295
"Clefable","Vikavolt",0.118146873067586,1,0.000897031640752419
"Amoonguss","Cryogonal",0.118171473044132,0,0.000903827335000544
"Lopunny-Mega","Vikavolt",0.11825543756503,1,0.000910623029248668
"Jolteon","Shaymin",0.118301897101274,0,0.000917418723496792
"Gengar","Lopunny-Mega",0.118345107020493,1,0.000924214417744917
"Empoleon","Vikavolt",0.118448006961277,4,0.000931010111993041
"Mienshao","Tapu_Koko",0.118462626553048,0,0.000937805806241166
"Lopunny-Mega","Tangrowth",0.118481665236839,1,0.00094460150048929
"Rotom-Heat","Tangrowth",0.118520659780626,0,0.000951397194737414
"Jirachi","Primarina",0.118550580414116,3,0.000958192888985539
"Gliscor","Tangrowth",0.118562003023614,1,0.000964988583233663
"Krookodile","Lopunny-Mega",0.118606184136557,2,0.000971784277481787
"Crobat","Tapu_Koko",0.118627620955377,1,0.000978579971729912
"Crobat","Jolteon",0.118666772719708,1,0.000985375665978036
"Kyurem","Lopunny-Mega",0.118695594453143,1,0.000992171360226161
"Clefable","Jirachi",0.118704588273785,0,0.000998967054474285
"Incineroar","Jirachi",0.118711469147037,2,0.00100576274872241
"Aggron-Mega","Sylveon",0.118742436181965,2,0.00101255844297053
"Arcanine","Vikavolt",0.118765884092261,1,0.00101935413721866
"Hydreigon","Mamoswine",0.118790320884341,1,0.00102614983146678
"Haxorus","Hydreigon",0.118821933596534,0,0.00103294552571491
"Primarina","Tangrowth",0.118829472938162,1,0.00103974121996303
"Haxorus","Tapu_Koko",0.118833154378033,0,0.00104653691421116
"Jirachi","Tsareena",0.118835601764307,2,0.00105333260845928
"Amoonguss","Zygarde",0.11883824694731,1,0.0010601283027074
"Rotom-Wash","Tapu_Koko",0.118839367079512,0,0.00106692399695553
"Jolteon","Mamoswine",0.118917884146063,1,0.00107371969120365
"Cryogonal","Jolteon",0.118968738430955,1,0.00108051538545178
"Dragapult","Haxorus",0.119083088312518,0,0.0010873110796999
"Arcanine","Rotom-Heat",0.119086437221493,0,0.00109410677394803
"Haxorus","Shaymin",0.119087530974707,1,0.00110090246819615
"Amoonguss","Infernape",0.119148350856545,2,0.00110769816244428
"Clefable","Rotom-Wash",0.119152830830868,1,0.0011144938566924
"Jolteon","Scizor-Mega",0.119166216740377,3,0.00112128955094052
"Sylveon","Tangrowth",0.119182535008871,0,0.00112808524518865
"Mamoswine","Tapu_Koko",0.119235483818845,1,0.00113488093943677
"Clefable","Krookodile",0.119239998749226,2,0.0011416766336849
"Rotom-Heat","Skarmory",0.119250510458186,3,0.00114847232793302
"Clefable","Persian-Alola",0.119253064385942,2,0.00115526802218115
"Haxorus","Sylveon",0.119306740151902,1,0.00116206371642927
"Hydreigon","Shaymin",0.119314794349735,1,0.00116885941067739
"Donphan","Hydreigon",0.119355040302708,2,0.00117565510492552
"Landorus-Therian","Tornadus-Therian",0.119401597685674,0,0.00118245079917364
"Crobat","Vikavolt",0.119411919485919,1,0.00118924649342177
"Infernape","Rotom-Heat",0.11942719946256,0,0.00119604218766989
"Arcanine","Tapu_Koko",0.119464132311481,2,0.00120283788191802
"Clefable","Togekiss",0.119465360249656,0,0.00120963357616614
"Garchomp","Tornadus-Therian",0.119499351492139,2,0.00121642927041427
"Scizor-Mega","Tornadus-Therian",0.119507674742671,1,0.00122322496466239
"Infernape","Landorus-Therian",0.119508269849831,1,0.00123002065891051
"Lopunny-Mega","Tornadus-Therian",0.119525608717236,0,0.00123681635315864
"Clefable","Jolteon",0.119540781501513,0,0.00124361204740676
"Garchomp","Rotom-Heat",0.119557325220091,2,0.00125040774165489
"Crobat","Haxorus",0.119591074577841,1,0.00125720343590301
"Haxorus","Mamoswine",0.119591074577841,1,0.00126399913015114
"Landorus-Therian","Lopunny-Mega",0.11960513532033,0,0.00127079482439926
"Infernape","Zygarde",0.119611720791218,2,0.00127759051864738
"Krookodile","Tapu_Koko",0.119619973808773,1,0.00128438621289551
"Serperior","Tangrowth",0.119640739477676,0,0.00129118190714363
"Gliscor","Ribombee",0.11970236016034,4,0.00129797760139176
"Porygon2","Tornadus-Therian",0.119712351616024,3,0.00130477329563988
"Mew","Rotom-Wash",0.11971840775289,3,0.00131156898988801
"Scizor-Mega","Tangrowth",0.1197818249001,1,0.00131836468413613
"Jirachi","Vikavolt",0.119782872836092,1,0.00132516037838426
"Landorus-Therian","Rotom-Heat",0.119805553681721,1,0.00133195607263238
"Togekiss","Tsareena",0.11980611739835,5,0.0013387517668805
"Empoleon","Togekiss",0.11980611739835,4,0.00134554746112863
"Lopunny-Mega","Shaymin",0.119808296797073,1,0.00135234315537675
"Jolteon","Sylveon",0.119842106381677,1,0.00135913884962488
"Shaymin","Tapu_Koko",0.11985807976733,0,0.001365934543873
"Crobat","Umbreon",0.119860251500228,3,0.00137273023812113
"Aggron-Mega","Tapu_Koko",0.119866398228841,2,0.00137952593236925
"Primarina","Tornadus-Therian",0.119888042777778,0,0.00138632162661738
"Jirachi","Rotom-Heat",0.119914557919547,0,0.0013931173208655
"Donphan","Jirachi",0.119932452093279,2,0.00139991301511362
"Dragapult","Jirachi",0.119933434738014,1,0.00140670870936175
"Jolteon","Lopunny-Mega",0.119952028780813,0,0.00141350440360987
"Tangrowth","Zygarde",0.119993394983566,3,0.001420300097858
"Arcanine","Sylveon",0.120060596141564,0,0.00142709579210612
"Mienshao","Shaymin",0.120096518146549,0,0.00143389148635425
"Cryogonal","Sylveon",0.120098521101261,1,0.00144068718060237
"Infernape","Vikavolt",0.120099002244967,1,0.00144748287485049
"Jirachi","Krookodile",0.120157918661319,1,0.00145427856909862
"Infernape","Slowking",0.120162406123652,1,0.00146107426334674
"Crobat","Lopunny-Mega",0.120168598524597,2,0.00146786995759487
"Gallade-Mega","Vikavolt",0.120207833755031,2,0.00147466565184299
"Arcanine","Primarina",0.120262706433033,0,0.00148146134609112
"Cryogonal","Togekiss",0.120270407318173,1,0.00148825704033924
"Lopunny-Mega","Zygarde",0.120314772706814,1,0.00149505273458737
"Garchomp","Tangrowth",0.120328593252357,0,0.00150184842883549
"Donphan","Jolteon",0.120375382262445,1,0.00150864412308361
"Cryogonal","Shaymin",0.120383355302828,1,0.00151543981733174
"Amoonguss","Scizor-Mega",0.120412968303659,1,0.00152223551157986
"Clefable","Serperior",0.120448645673636,1,0.00152903120582799
"Crobat","Rotom-Wash",0.120498198852735,3,0.00153582690007611
"Clefable","Cryogonal",0.120518927451601,0,0.00154262259432424
"Crobat","Mamoswine",0.120591854155846,2,0.00154941828857236
"Hydreigon","Incineroar",0.120604128879478,0,0.00155621398282049
"Gliscor","Hydreigon",0.120627550619765,1,0.00156300967706861
"Cryogonal","Vikavolt",0.120649131856601,0,0.00156980537131673
"Gliscor","Primarina",0.120666084620245,1,0.00157660106556486
"Donphan","Lopunny-Mega",0.120714966198575,2,0.00158339675981298
"Florges","Tapu_Koko",0.12072370590714,0,0.00159019245406111
"Celesteela","Mienshao",0.120795669998732,1,0.00159698814830923
"Clefable","Empoleon",0.120875961278918,2,0.00160378384255736
"Mamoswine","Vikavolt",0.120877794753701,1,0.00161057953680548
"Hydreigon","Rotom-Heat",0.120885437971151,1,0.0016173752310536
"Haxorus","Togekiss",0.120906114533245,2,0.00162417092530173
"Celesteela","Cryogonal",0.120914304262836,1,0.00163096661954985
"Mamoswine","Mienshao",0.120921566964154,1,0.00163776231379798
"Donphan","Gengar",0.120923712252121,2,0.0016445580080461
"Amoonguss","Crobat",0.120927292172679,1,0.00165135370229423
"Lopunny-Mega","Scizor-Mega",0.12093478639493,0,0.00165814939654235
"Dragapult","Tornadus-Therian",0.120992096374323,2,0.00166494509079048
"Garchomp","Primarina",0.121041159805811,2,0.0016717407850386
"Silvally","Tapu_Koko",0.121080548071168,1,0.00167853647928672
"Empoleon","Haxorus",0.121089142262119,2,0.00168533217353485
"Hydreigon","Vikavolt",0.12111115128359,1,0.00169212786778297
"Cryogonal","Krookodile",0.121175506991687,1,0.0016989235620311
"Celesteela","Tapu_Koko",0.121184432994419,1,0.00170571925627922
"Clefable","Primarina",0.121193516074006,0,0.00171251495052735
"Dragapult","Tapu_Koko",0.121200130027376,1,0.00171931064477547
"Arcanine","Haxorus",0.121226419662422,0,0.00172610633902359
"Kyurem","Nidoking",0.12126381315751,3,0.00173290203327172
"Mew","Tapu_Koko",0.121267625661664,0,0.00173969772751984
"Amoonguss","Tangrowth",0.121288459825614,0,0.00174649342176797
"Cryogonal","Primarina",0.121315400089926,1,0.00175328911601609
"Infernape","Shaymin",0.121320335112322,1,0.00176008481026422
"Infernape","Kyurem",0.12132243724804,2,0.00176688050451234
"Cryogonal","Jirachi",0.121336452768792,1,0.00177367619876047
"Lopunny-Mega","Mamoswine",0.121339316157226,0,0.00178047189300859
"Amoonguss","Haxorus",0.121366089034112,0,0.00178726758725671
"Primarina","Rotom-Heat",0.121370208048262,1,0.00179406328150484
"Empoleon","Jirachi",0.121376641345696,1,0.00180085897575296
"Aggron-Mega","Infernape",0.121383999925077,2,0.00180765467000109
"Aromatisse","Tornadus-Therian",0.121433061492551,4,0.00181445036424921
"Arcanine","Cryogonal",0.121453050855186,1,0.00182124605849734
"Ferrothorn","Landorus-Therian",0.121459246632188,2,0.00182804175274546
"Incineroar","Zygarde",0.121494532285831,4,0.00183483744699358
"Clefable","Zygarde",0.121533082867369,1,0.00184163314124171
"Incineroar","Lopunny-Mega",0.121547934183256,1,0.00184842883548983
"Haxorus","Krookodile",0.121619791797667,2,0.00185522452973796
"Landorus-Therian","Tapu_Koko",0.12163391496303,0,0.00186202022398608
"Cryogonal","Hydreigon",0.121636753173673,1,0.00186881591823421
"Jolteon","Mienshao",0.121682133409765,1,0.00187561161248233
"Darmanitan","Sylveon",0.121722661201602,2,0.00188240730673046
"Mamoswine","Zeraora",0.121735766566085,1,0.00188920300097858
"Amoonguss","Incineroar",0.121744253989072,3,0.0018959986952267
"Jirachi","Zygarde",0.121810913763288,3,0.00190279438947483
"Celesteela","Dragapult",0.12182549241795,1,0.00190959008372295
"Haxorus","Vikavolt",0.121830071936443,1,0.00191638577797108
"Incineroar","Jolteon",0.121838561561191,2,0.0019231814722192
"Krookodile","Rotom-Heat",0.121841537227208,2,0.00192997716646733
"Jolteon","Vikavolt",0.121853579665755,0,0.00193677286071545
"Cryogonal","Mamoswine",0.121875477392763,0,0.00194356855496357
"Donphan","Infernape",0.121875993320809,2,0.0019503642492117
"Serperior","Sylveon",0.121910222742484,1,0.00195715994345982
"Hydreigon","Scizor-Mega",0.121938756307171,2,0.00196395563770795
"Infernape","Tornadus-Therian",0.121943282076748,0,0.00197075133195607
"Amoonguss","Tsareena",0.121947431984077,0,0.0019775470262042
"Arcanine","Mienshao",0.121967344227261,1,0.00198434272045232
"Tapu_Koko","Tsareena",0.121987146510467,1,0.00199113841470045
"Silvally","Tornadus-Therian",0.121992375210238,1,0.00199793410894857
"Rotom-Heat","Serperior",0.122001412288375,1,0.00200472980319669
"Mew","Primarina",0.122001685514552,1,0.00201152549744482
"Gengar","Jirachi",0.12202572706556,1,0.00201832119169294
"Landorus-Therian","Sylveon",0.122035151186041,0,0.00202511688594107
"Gengar","Tangrowth",0.122053951056675,0,0.00203191258018919
"Muk-Alola","Zygarde",0.122095736384318,3,0.00203870827443732
"Heatran","Tapu_Koko",0.122122679300121,0,0.00204550396868544
"Gengar","Tornadus-Therian",0.122132270513631,0,0.00205229966293357
"Heatran","Lopunny-Mega",0.122146010592521,2,0.00205909535718169
"Haxorus","Silvally",0.122196681031069,1,0.00206589105142981
"Amoonguss","Slowking",0.122221506608514,2,0.00207268674567794
"Infernape","Tsareena",0.122237853606179,3,0.00207948243992606
"Landorus-Therian","Mamoswine",0.122295419817678,0,0.00208627813417419
"Arcanine","Lopunny-Mega",0.122300374563365,1,0.00209307382842231
"Tornadus-Therian","Zeraora",0.122321219548305,0,0.00209986952267044
"Crobat","Persian-Alola",0.122322426432712,1,0.00210666521691856
"Donphan","Tornadus-Therian",0.122338077108571,1,0.00211346091116668
"Cryogonal","Ribombee",0.122339654449843,2,0.00212025660541481
"Persian-Alola","Tapu_Koko",0.122343281211592,1,0.00212705229966293
"Hydreigon","Zygarde",0.122377589630061,0,0.00213384799391106
"Amoonguss","Tornadus-Therian",0.122391237133369,0,0.00214064368815918
"Amoonguss","Serperior",0.122393109339094,0,0.00214743938240731
"Rotom-Wash","Scizor-Mega",0.122393912652919,2,0.00215423507665543
"Lopunny-Mega","Umbreon",0.12239996969223,1,0.00216103077090356
"Aggron-Mega","Gengar",0.12240118535031,1,0.00216782646515168
"Rotom-Heat","Vikavolt",0.122407847752303,0,0.0021746221593998
"Mamoswine","Tangrowth",0.122447009176408,1,0.00218141785364793
"Florges","Jirachi",0.122479477851024,1,0.00218821354789605
"Haxorus","Tangrowth",0.122508822067159,0,0.00219500924214418
"Amoonguss","Primarina",0.1225328004886,0,0.0022018049363923
"Crobat","Mew",0.122541905916275,1,0.00220860063064043
"Amoonguss","Vikavolt",0.122595211157763,0,0.00221539632488855
"Dragapult","Rotom-Heat",0.122610130108098,1,0.00222219201913667
"Arcanine","Empoleon",0.122651086334681,2,0.0022289877133848
"Clefable","Gallade-Mega",0.122659899136848,2,0.00223578340763292
"Garchomp","Sylveon",0.122669422916465,1,0.00224257910188105
"Gengar","Kyurem",0.122674237528409,2,0.00224937479612917
"Celesteela","Donphan",0.122704197992453,2,0.0022561704903773
"Amoonguss","Donphan",0.122706849853734,0,0.00226296618462542
"Moltres","Tangrowth",0.122710711383657,2,0.00226976187887355
"Incineroar","Mew",0.122730252373455,3,0.00227655757312167
"Greninja","Shaymin",0.122737961698591,1,0.00228335326736979
"Amoonguss","Heatran",0.1227482223029,1,0.00229014896161792
"Incineroar","Tapu_Koko",0.12275589445165,1,0.00229694465586604
"Clefable","Moltres",0.122778592889256,1,0.00230374035011417
"Donphan","Sylveon",0.122783157520326,0,0.00231053604436229
"Clefable","Slowking",0.122801485781067,2,0.00231733173861042
"Rotom-Heat","Slowking",0.122805458974697,1,0.00232412743285854
"Mew","Scizor-Mega",0.122822438036811,2,0.00233092312710667
"Donphan","Tangrowth",0.122843780789707,1,0.00233771882135479
"Cryogonal","Dragapult",0.122906394021033,3,0.00234451451560291
"Donphan","Tapu_Koko",0.122952929694033,1,0.00235131020985104
"Florges","Haxorus",0.122979260432969,1,0.00235810590409916
"Jirachi","Mew",0.122996057888293,0,0.00236490159834729
"Porygon2","Tapu_Koko",0.122998556780559,1,0.00237169729259541
"Clefable","Tsareena",0.123023483972165,1,0.00237849298684354
"Crobat","Darmanitan",0.123046724313982,2,0.00238528868109166
"Shaymin","Tsareena",0.123058200514632,0,0.00239208437533978
"Empoleon","Tsareena",0.123058200514632,3,0.00239888006958791
"Shaymin","Silvally",0.123076178338032,0,0.00240567576383603
"Diancie-Mega","Zeraora",0.123086310688062,4,0.00241247145808416
"Snorlax","Weezing",0.123116891112731,3,0.00241926715233228
"Gengar","Tsareena",0.123127511257399,2,0.00242606284658041
"Arcanine","Clefable",0.123133457051227,1,0.00243285854082853
"Crobat","Rotom-Heat",0.123148266889793,0,0.00243965423507666
"Florges","Infernape",0.123210122715188,2,0.00244644992932478
"Dragapult","Togekiss",0.123211789648491,3,0.0024532456235729
"Primarina","Vikavolt",0.123250959753034,0,0.00246004131782103
"Jirachi","Landorus-Therian",0.123258372261353,1,0.00246683701206915
"Crobat","Infernape",0.123262850754106,1,0.00247363270631728
"Empoleon","Gallade-Mega",0.123305506264161,4,0.0024804284005654
"Incineroar","Rotom-Wash",0.123332449568879,2,0.00248722409481353
"Gliscor","Mew",0.123337603943879,1,0.00249401978906165
"Donphan","Rotom-Heat",0.123344209709319,1,0.00250081548330977
"Clefable","Scizor-Mega",0.123351241424243,1,0.0025076111775579
"Greninja","Mienshao",0.123355557787028,1,0.00251440687180602
"Garchomp","Zygarde",0.123380029675047,0,0.00252120256605415
"Crobat","Zygarde",0.123383997982423,2,0.00252799826030227
"Crobat","Tangrowth",0.123393960598935,0,0.0025347939545504
"Tapu_Koko","Victini",0.1233971208827,1,0.00254158964879852
"Dragapult","Tsareena",0.123426324217159,1,0.00254838534304665
"Hydreigon","Mienshao",0.123460627214134,1,0.00255518103729477
"Mew","Tangrowth",0.123499111349276,0,0.00256197673154289
"Gliscor","Incineroar",0.12350907925468,2,0.00256877242579102
"Sylveon","Vikavolt",0.123521676133592,1,0.00257556812003914
"Clefable","Gengar",0.123525815096941,0,0.00258236381428727
"Hydreigon","Sylveon",0.123526471100327,0,0.00258915950853539
"Infernape","Sylveon",0.123526471100327,1,0.00258915950853539
"Vikavolt","Zygarde",0.123551216290723,0,0.00260275089703164
"Clefable","Dragapult",0.123604198423444,1,0.00260954659127977
"Clefable","Silvally",0.12364186213609,0,0.00261634228552789
"Arcanine","Hydreigon",0.123648752825951,1,0.00262313797977601
"Arcanine","Garchomp",0.123667299304936,1,0.00262993367402414
"Lopunny-Mega","Rotom-Mow",0.123672888854875,2,0.00263672936827226
"Infernape","Jolteon",0.123693378964951,1,0.00264352506252039
"Infernape","Primarina",0.123703915172423,1,0.00265032075676851
"Gengar","Hydreigon",0.12371407531995,1,0.00265711645101664
"Galvantula","Tangrowth",0.123721563138536,2,0.00266391214526476
"Hydreigon","Jirachi",0.123744794952726,1,0.00267070783951288
"Tornadus-Therian","Vikavolt",0.123791051200309,1,0.00267750353376101
"Arcanine","Infernape",0.123810194893248,0,0.00268429922800913
"Celesteela","Hydreigon",0.123827176540086,0,0.00269109492225726
"Jolteon","Mew",0.123831358294468,1,0.00269789061650538
"Gengar","Zygarde",0.123893848465782,1,0.00270468631075351
"Celesteela","Zygarde",0.123931537901684,1,0.00271148200500163
"Scizor-Mega","Snorlax",0.123954012404498,2,0.00271827769924976
"Clefable","Florges",0.123985959273171,0,0.00272507339349788
"Clefable","Skarmory",0.124001452725685,2,0.002731869087746
"Garchomp","Shaymin",0.124011137782944,2,0.00273866478199413
"Amoonguss","Celesteela",0.12401639646172,1,0.00274546047624225
"Hydreigon","Infernape",0.124019592706153,1,0.00275225617049038
"Celesteela","Tangrowth",0.1240474527594,0,0.0027590518647385
"Rotom-Heat","Togekiss",0.124085440025823,2,0.00276584755898663
"Garchomp","Infernape",0.124111455210312,1,0.00277264325323475
"Moltres","Vikavolt",0.124146942453533,1,0.00277943894748287
"Donphan","Shaymin",0.124156792839193,1,0.002786234641731
"Jolteon","Rotom-Wash",0.124178660803525,1,0.00279303033597912
"Infernape","Scizor-Mega",0.124190488077684,2,0.00279982603022725
"Garchomp","Mienshao",0.124198518589281,1,0.00280662172447537
"Celesteela","Gengar",0.124199903591892,1,0.0028134174187235
"Jolteon","Ninetales-Alola",0.124200130501335,3,0.00282021311297162
